Наименование	Штрихкод
Кювета однораз д/Астра * №1		
Кювета однораз д/Астра 600 * №1		
Ланцет атравматич экстра 18G желт * №1		
Лезвие для скальпеля №15 нерж сталь однораз НеуказанаСтрана		
Лезвие для шейвера Arthrex GmbH * №1		
Лейкопластырь 2 Х500 катушка №1 Новосибхимфарм АО/ОАО РОССИЯ		
Лейкопластырь бактерицид 1,9 Х7,2 №1 Новосибхимфарм АО/ОАО РОССИЯ		
Лейкопластырь нетканн 2 Х500 катушка №1 Новосибхимфарм АО/ОАО РОССИЯ		
Люмакс Классик дез, ср-во 1л * №1 РОССИЯ		
Люмакс Профи кожный антисептик 1л * №1		
Магистраль Перфузор инфузионная полиэтилен 150см (2,6мл) НеуказанаСтрана		
Маркер хирургический стерильный (оп) НеуказанаСтрана		
Марля мед х/б 1000м рулон * №1		
Маска кислородная, стерильная с трубкой 2 м, штука * №1 РОССИЯ		
Маска ларингеальная одноразовая, стерильная  ВСЕ РАЗМЕРЫ, штука НеуказанаСтрана		
Маска мед однораз 3хслойная * №1		
Маска- респиратор защитная с клапаном * №1		
Масказащитная с клапаном * 2 РОССИЯ		
Масло иммерсионное тип А 100мл * №1		
Масло минеральное для клеточных культур 100 мл,фл НеуказанаСтрана		
Микроинструмент для биопсии бластомера(внутр дим 35 мкм) НеуказанаСтрана		
Микроинструмент для забора спермотозоида ИКСИ(с шипом для скоса 12-15мкм),шт НеуказанаСтрана		
Микроинструмент удерживающий(внутр диам 15-25 мкм, наружн 80-105 мкм),шт НеуказанаСтрана		
Микропипетки для вспомогательного химического хэтчинга (PZD micropipets) * №1		
Микропипетки для ИКСИ (ICSI micropipets) * №1		
Микропипетки для удержания яйцеклетки * №1		
Микропробирка 1,5 мл стерильная апирогенная * №1		
Мини Спайк канюля д/забора медикаментов * №1		
Миродез специаль 1л дез д/генер убор * №1		
Миросептик кожный антисептик * №1		
Монокрил (неокр) 2/0МЗ 70  игла обр-реж 26мм 3/8 * №1		
МОНОКРИЛ ВСЕ РАЗМЕРЫ Шовный материал НеуказанаСтрана		
Монофил синий 6/0 0,7 75колющ1/2HR15 * №1		
Мочеприемник однораз прикроват 2л * №1		
Набор гравитационный для энтерального питания 1000мл НеуказанаСтрана		
Набор для забора яйцеклетки: игла 17Gм, однопросветная,аспирационная трубка 950 мм НеуказанаСтрана		
Набор для опредения антиспермальных антител класса lgG(50 пр) НеуказанаСтрана		
Набор мед хирургический/опер на конечности КБ01106 * №1		
Набор реагентов д/размораж бластоцит( B-VIT) * №1		
Набор реагентов д/размораж зигот-морул (Z-REV) * №1		
Набор реагентов для опред. Антистрептолизина О, 100 определений * №1		
Набор реагентов креатинкиназа 10 мл № 5 фл * №5		
Набор Реагентов на COVID-19		
Набор реагентов на Covid-19 (Экспресс-тест) * №1		
Набор сред культуральных для размораживания ооцитов,эмбрионов бластоцит после витрификации НеуказанаСтрана		
Наволочка 60*60 н/стер 25г/м * №1		
Наконечник д/дозатора без фильтра 10-200 мкл стерильн * №1		
Наконечник для пипетки Spotchem * №1		
Наконечник однор к дозатору Термо Фишер 0,5-250 * №1		
Наконечник однор к дозатору Термо Фишер 100-100 * №1		
Наконечник универсальный 1000 мкл с фильтром стерил в штативе № 96 * №1		
Наконечники пластиковые для манипуляц. с ооцитами и эмбрионами * №1		
Очки защитные прзрачные * №1		
Пакет гипотермический Снежок * 2		
Пакет для стерилизации комбинированный * №100 РОССИЯ		
Пакет для утилизации мед. отходов кл. ,В  (красный) * №1 РОССИЯ		
Пакет для утилизации мед. отходов кл. ,В маленький * №1 РОССИЯ		
Пакет для утилизации мед. отходов кл. А,В 500*600 мм * №1 РОССИЯ		
Пакет для утилизации мед. отходов кл. А,В 700*800 мм * №1 РОССИЯ		
Пакет из крафт-бум. 115*200; 150*250; 100*250; 150*280; 200*350, 230*280; 250*320, 300*390 самокл. М		
Парапран повязка с химотрипсином 7,5*10 * №30		
ПДС IIфиол. 5/0М170см игла колющ ВВ 173/8 * №1		
Пеленки впитывающие 60*90 стерильные * №1 РОССИЯ		
Пеленки впитывающие Элара * №1 Пауль Хартман АГ ГЕРМАНИЯ		
Пена Меналинд очищ. баллон 400мл * №1		
Перефикс 401 Filter set * №1		
Перчатки  ортопедические стерильные неопудренные, пара * №1		
Перчатки PF Undergiove/Gammex стерильные хирургические неопудренные, пара НеуказанаСтрана		
Перчатки латексные нестерильные, пара * №1 РОССИЯ		
Перчатки нитриловые нестерильные текстур на пальцах Sense р.S,M,L, пара * №1 РОССИЯ		
Перчатки стерильные хирургические латексные неопудренные ВСЕ размеры (операц) * №1 РОССИЯ		
Пинцет одноразовый стерильный * №1		
Пипетка по типу Пастеровской 0,5 * №1		
Пипетка стеклян к СОЭ метру * №1		
Пипетка-груша (Пастера)  на 3 мл стерильная, инд. упак/1000 шт, штука * №1		
Пипетки серлогические 10 мл с фильтром,шт НеуказанаСтрана		
Пипетки серлогические 5 мл с фильтром,шт * №1		
Планшеты 4-лун. с крышкой,шт НеуказанаСтрана		
Пластина блокируемая компрессирующая 3,5, 8 отверстий с компл.винтов * №1		
Пластины 1/3 трубчатые УС 3,5 * №1 РОССИЯ		
Пластырь 5м*1,25см гипоаллергенный из шелка (бел) OMNISILK, штука * №1		
Пластырь Dermaplast Hartmann 4х1,6см   №250, штука НеуказанаСтрана		
Пластырь гипоалергенный из нетканного матерериала OMNIFIX 10*2,5(оп) * №1 РОССИЯ		
Пластырь гипоалергенный из нетканного матерериала OMNIFIX 10*5(оп) * №1 РОССИЯ		
Пластырь Омнистрип 12*101 * №6 РОССИЯ		
Пластырь Омнистрип 3*76 * №5 РОССИЯ		
Пластырь Омнистрип 6х76 мм * №1		
Пластырь Омнификс 10*1000 см * №1		
Пластырь Омнификс 15*1000 см * №1		
Плеврокан В д/дренирования плевр полости * №1		
Пленка рентген мед 28*35 * 125		
Пленка рентген мед 35*43 * 125		
Повязка  Космопор I.V стер 8*6см * №1 ГЕРМАНИЯ		
Повязка  Космопор все размеры * №1 ГЕРМАНИЯ		
Повязка медицинская Sorbalgon 2г/30 см * №1		
Повязка стерильная из неткан.материала 9*10,5 см НеуказанаСтрана		
Подгузники для взрослых р.М, L, * №1 РОССИЯ		
Полоски офтальм диагностич * №100		
Помпа эндоскопическая все * №1		
Порт система д/имплантаци "Селсайт" * №1		
Презервативы "Вива" д/УЗИ * №100		
Презервативы Вива д/исслед УЗИ * №100		
Пробирка 15 мл центрифужная,винтовая крышка,стер,шт * №1		
Пробирка VACUTTE для гематолог-х исследований ЭДТА-КЗ 2мл/4мл (фиолетовая) * №1 РОССИЯ		
Пробирка VACUTTE для измерения СОЭ 1,5/2мл (черная), штука * №1		
Пробирка VACUTTE с  натрия гепарином 9мл (зеленая) д/получения плазмы * №1 НеуказанаСтрана		
Пробирка VACUTTE с цитратом натрия 5мл (голубая) НеуказанаСтрана		
Пробирка вакуумная д/забора 13*75 4,5 мл с цитратом натрия (голубая крышка) * №1		
Пробирка вакуумная д/сыворотки (красн), штука * №1		
Пробирка вакуумная с крыш без наполнителя 6мл * №1		
Пробирка КЗ ЕДТА2мл(фиолет), штука * №1		
Пробирка лаборат.12 мл полипроп.с градуир.кольцами * №1		
Пробирка лаборат.12 мл полипроп.с градуир.кольцами 50мл полимерные градуиров. №1 Медполимер ЗАО г.Москва РОССИЯ		
пробирка лабораторная, 5 мл * №1		
Пробирка образца  с голубой крыш д/спотчем * 500		
Пробирка полимерная цилиндрическая 5мл * №1		
Пролен синий 2/0М3 75см игла колющ МН-1 31 1/2 * №1		
Пролен синий 5/0М1 45см игла обр-реж Р-З 16*3/8 * №1		
Пролен синий USP3/0 45см игла реж РС-25 26мм 3/8 окр * №1		
Простыня нестерильная 200см*70см; 200см*80см пл20-25, штука * №1 РОССИЯ		
Простыня одноразовая медицинская 80*200 * №1 Пауль Хартман АГ ГЕРМАНИЯ		
Простыня одноразовая хир/стер. Гекса 200*160 * №1		
Простыня рулон 0,6*200 с перф шаг 50см * №1		
Раствор частиц силикагеля 40% 100 мл фл * №1		
Раствор частиц силикагеля 80% 100 мл фл * №1		
Раствор частиц силикагеля 80% 100 мл фл НеуказанаСтрана		
Растворы для витрификации ооцитов и эмбрионов в наборе * №1		
Растворы для размораживания ооцитов и эмбрионов в наборе * №1		
Реагент Азур-эозин по Романовскому Минимед 1л (д/окрашив.формен.элем.крови), 1 л * №1		
Реагент Глюкова-Ново для определения глюкозы в крови и  моче * №1		
Реагент д/опр амилазы тест-полоски * №25		
Реагент д/опр ГГТ тест полоски * №25		
Реагент д/опр глюкозы тест полоски * №25		
Реагент д/опр кальция тест полоски * №25		
Реагент д/опр креатинина тест полоски * №25		
Реагент д/опр ЛДГ тест полоски * №25		
Реагент д/опр магниятест полоски * №25		
Реагент д/опр мочевины тест полоски * №25		
Реагент д/опр набора тестов Печеночный-1 тест-полоски * №25		
Реагент д/опр набора тестов Почечный-2 тест-полоски * №25		
Реагент д/опр С-реактивного белка, 100 определений * №1		
Реагент д/опр СБР-Ольвекс * №100 РОССИЯ		
Реагент д/опр триглицеридов тест полоски * №25		
Реагент д/опр холестерина высок плотности тест полоски * №25		
Реагент д/опр щелочной фосфатазы тест-полоски * №25		
Реагент д/опред ГОТ/АСТ (sportchem) №25 НеуказанаСтрана		
Реагент д/опред КРЕАТИНКИНАЗЫ (КФК) (sportchem) №25 НеуказанаСтрана		
Реагент д/опред ФОСФОРА (sportchem) №25 НеуказанаСтрана		
Реагент д/опробщего белка тест полоски * №25		
Реагент д/опробщего билирубина тест полоски * №25		
Реагент Диахим-Цитостей-МПО № 12 * №12		
Реагент для определения АЛТ тест-полоски * №25 РОССИЯ		
Реагент для определения альбумина тест-полоски * №25 РОССИЯ		
Реагент для определения АСТ тест-полоски * №25 РОССИЯ		
Реагент для определения мочевой кислоты тест-полоски * №25 РОССИЯ		
Реагент для определения набора тестов Панель-1 ((sportchem) PANEL-1) * №25 РОССИЯ		
Реагент для определения общего холестерина тест-полоски * №25 РОССИЯ		
Реагент Ликвичек контроль "Гематология" 16Е6*2,5 * №1		
Реагент Ликвичек"Гематология-16Т" материал-контроль3-х ур(низ,норм,выс)6*2,5мл для Poch100 НеуказанаСтрана		
Реагент Мочевина-витал 200 мл(на 50 определений) НеуказанаСтрана		
Реагент Хлориды флак100мл (ХЛ-022-100; UTS; Ново) (50 исслед) НеуказанаСтрана		
Реагент Эозин по Май-Грюнвальду  1л (р-р метилен.син. д/окраш.формен.эл.крови), 1 л * №1		
Реагентный картридж pocH-pack 65х45 * 45		
Репродуктивный лоток с 6 углублениями * №1		
Рубашка д/рожениц пл.25, 42 р.52-54, длина 110см голубая, штука * №10 РОССИЯ	2000950156626
Рубашка д/рожениц пл.25, 42 р.52-54, длина 110см голубая, штука НеуказанаСтрана		
Ручка держатель д/электрохирургии однораз * №1		
Сайдезим Экстра 3,78 * 2		
Сайдекс Опа дез/ср * №4		
Салфетка антисептическая 60*100 * №1		
Салфетка медицинская стерильная 16см*14см, * №20		
Салфетка рулон навтулке №100 * №1 РОССИЯ		
Салфетка стерильная процедурная 45х45 спанбонд пл.25-42, в лоток, штука НеуказанаСтрана		
Салфетки 2х слойные 45*29 стерильные * №5 РОССИЯ		
Салфетки д/стимул дыхания 3х6 см с нашатырем * №1		
Салфетки однораз нестерильные * №1 РОССИЯ		
Салфетки однораз стерильные 70*80 * №1		
СБР латекс Витал * 125		
Септолит Атисептик кожн 1л * №1		
Септолит Тетра 1л дез д/генер убор * №1		
Септолит Экспрес спрей 750мл д/поверх * №1		
Сетка хирургическая 15*10, штука * №1		
Система инфузионная д/растворов * №1		
Система трансфузионная для переливания крови, кровезаменителей, штука НеуказанаСтрана		
Скальпель хир. нерж.сталь однораз. стер.№ все * №1		
Соединитель гибкий угловой 22F-22М/15 с портом * №1		
Соединительные линии к шпр д/МРТ * №1		
Среда - Степ с альбумином 10 мл * №1		
Среда Sil-Selekt Plus для подготовки спермы (40.80%) * №1		
Среда для оплодотворения G-IVE PLUS, 30 мл * №1		
Среда Квина для обработки спермы * №1 НеуказанаСтрана		
Среда культуральная Синквеншиал Ферт с феноловым красным10 мл * №1 НеуказанаСтрана		
Среда культурная для культивирования гамет и эмбрионов 1фл/20мл * №1		
Среда универс одноступенч д/всех этапов культив (G-TL) 30мл * №1		
Средство дез Nocolise картридж 2л * №1		
Станок для бритья операционного поля * №1		
Станок для бритья операционного поля * №1		
Стекло предметное 76*26 толщина1-2мм * 72 РОССИЯ		
Степлер кожный для наложения шва * №1		
Стержень магнитной мешалки НеуказанаСтрана		
Стерикан игла пункционная 0,8*120 G21 * №1		
Стериллиум классик 500 мл кожн а/с * №1		
Стеррад кассеты 100S * №5		
Стилет интубационный для эндотрахеальной трубки стерильный CH/FR6,10, 14 ВСЕ РАЗМЕРЫ, штука НеуказанаСтрана		
Стратафикс неокр. 3/0с2мя игл 14*14 игла обр-реж FS26 3/8 * №1		
Стратафикс неокр. 4/0с2мя игл 30 игла обр-реж FS2 3/8 * №1		
Стратафикс фиол. 4/0с2мя игл 70игла обр-реж FS2-19 3/8 * №1		
Сургикрил ПГА ЕР 2 USP3/075см игла колющ НR-26 1/2 * №1		
Таблетница Кронт * №1		
Термозапаиваемые рулоны с хим. индикатором СТЕРРАД * №1		
Термозапаиваемые рулоны с хим. индикатором СТЕРРАД 250мм х 70 м * №1		
Термометр д/холодильника * №1 РОССИЯ		
Термометр медицинский безртутный стекл * №1 РОССИЯ		
Термометр ртутный в футляре НеуказанаСтрана		
Тест д/опр беременности Frautest №1 НеуказанаСтрана		
Тест-ИХА-Кардио-Фактор Д-димер * №20		
Тест-полоски д/скрин анализа мочи Контрол-тест М * №50		
Тест-полоски Кетоглюг-1 д/опр глюк/кетон в моче № 50 * №50		
Тест-полоски Сателлит Экспресс д/глюкомПКГ-03 * №50		
Тест-система Хелпил д/диагностики хеликобактериоза, штука НеуказанаСтрана		
Тест-экспресс для определения прокальцитонина № 25 * №1		
Тех-Д-Димер набор реагентов на 100 определений * №1		
Тех-Фибриноген -тест 100 определений * №100		
Техпластин-тест набор реагентов, 100 определений * №100		
Тропонин-тест 1 ИХА-кардио * №20		
Тррмбо-тест набор реагентов 50 определений * №50		
Трубка ирригационная, касетный набор, контроль давления (гистероскопия) НеуказанаСтрана		
Трубка ирригационная, касетный набор, контроль скорости ирригации (лапароскопия) НеуказанаСтрана		
Трубка трахеостомическая ВСЕ РАЗМЕРЫ * №1 РОССИЯ		
Трубка трикотажная мерная 5м К430 * №1 РОССИЯ		
Трубка эндотрахеальная полярная Мерфи 055 стерильная с манжетой ВСЕ * №1 РОССИЯ		
Трубки аспирационные для забора фолликулов * №1		
Трусы бикинииз неткан * №1		
Трусы д/колоноскопии однораз * №1		
Устройство д/ дренирования верх моч путей BT-PDS-1030-WK1 * №1		
Устройство д/ дренированияран 150мл * №1		
Устройство д/ дренированияран 250мл * №1		
Устройство дренирующее д/аспирации ОР-Flex * №1		
Фартук одор ламинир спанбонд нестер * №1		
Фильтр вирусо-бактериальный д/взр * №1		
Фильтр д/небулайзера * №1		
Фильтр электростат Барьербери * №1		
Фильтртепловлагообменный педиатрич * №1		
Формалин 10% забуференный 1000мл., флакон НеуказанаСтрана		
Фрост спрей д/дезодорир охлажд 400мл * №1		
Халат хирург н/стерильный SMS  140*140 см (рукава на манжете) * №1 РОССИЯ		
Халат хирург стерильный SMS  140*140 см (рукава на манжете) * №1 РОССИЯ		
Цоликлон анти c-Супер 10 мл * №1		
Цоликлон анти D-Супер 10 мл * №1		
Цоликлон анти А-Супер 10 мл * №1		
Цоликлон анти В-Супер 10 мл * №1		
Цоликлон Анти-А (Серия F) 10мл AF10 / Цоликлон СМ Анти-А1 Лектин / Изосероклон Анти-А1 10мл, (50опр) НеуказанаСтрана		
Цоликлон Анти-В (Серия R) 10мл ВR 10 гематолог (50 определений) НеуказанаСтрана		
Цоликлон анти-Е Супер 10 мл * №1		
Цоликлон СМ анти А-Супер 10 мл * №1		
Чашка Петри 60мм,шт НеуказанаСтрана		
Чашка Петри для ЭКО * №1		
Чашка Петри культуральная 35мм,шт НеуказанаСтрана		
Чашка Петри культуральная 60 мм с центр.лункой,шт НеуказанаСтрана		
Чашка Петри культуральная 90*20 мм с наружн.ребристым кольцом,шт НеуказанаСтрана		
Чехол на пульт упр кругл 120 * №1		
Чехол на пульт упр прямоуг 80*45 * №1		
Чехол на эндоскоп однораз стер 200*13 * №1		
Чулки антитромб 1кл компрессии рL,М * №1		
Шапочка берет однораз * №1		
Шеврон №3 набор щеток д/очист мед инстр * №1		
Шеврон №4 набор щеток д/очист мед инстр * №1		
Шина септальная средняя 64*24мм стерил №2 (комплект) НеуказанаСтрана		
Шпатель мед одноразовый деревянный * №1		
Шприц 1 мл с иглой однораз инъекционный * №1		
Шприц 10 мл без иглы однораз инъекционный * №1		
Шприц 10 мл с иглой однораз инъекционный * №1		
Шприц 150мл 3х детал с наконеч д/катет насад * №1		
Шприц 20 мл с иглой однораз инъекционный * №1		
Шприц 20мл без иглы/с иглой для перфузора/инфузомата Омнификс 3х компонент (оп) НеуказанаСтрана		
Шприц 20мл трехкомпонентный Омнификс Люэр с иглой 0,8*40мм (для инфузомата) (оп) НеуказанаСтрана		
Шприц 3 мл с иглой однораз инъекционный * №1		
Шприц 5 мл с иглой однораз инъекционный * №1		
Шприц высокого давления стер 100мл * №1		
Шприц инсулин.2-х компонент. с зеленым поршнем 1 мл с иглой * №1		
Шприц Луер 3 мл. с иглой, штука * №1 РОССИЯ		
Шприц Луер 50 мл. с иглой, штука * №1 РОССИЯ		
Шприц одноразовый с иглой, 50мл., штука НеуказанаСтрана		
Шприц со сменной иглой, объем 100 мкл, 22s Hamilton * №1		
Штанишки Молипанс №5 ВСЕ РАЗМЕРЫ (оп.бл/ст) НеуказанаСтрана		
Щетка чистящая, штука * №1 НеуказанаСтрана		
Экобриз Антисептик кожный 1л * №1		
Экобриз Антисептик кожный 5л * №1		
Экобриз концентрат 1л * №1		
Экобриз концентрат 5л * №1		
Экобриз Окси лайт 1л (дез.средство)		
Экобриз Окси лайт 1л дез * №1		
Экобриз салфетки №60 * №1		
Экобриз Экспресс спрей фл 1л * №1		
Экобриз Экспресс спрей фл 5л * №1		
Электрод д/ЭКГ однораз д50мм * №1		
Эмбриотрансферный катетер,шт * №1 НеуказанаСтрана		
Эмиталь, кожный антисептик * №1 НеуказанаСтрана		
Эндогерниостеплер 15 скоб * №15		
Энзимодез  дез,ср-во 1литр * №1 РОССИЯ		
Эскадроп устройство д/инф терапии дозир без инф сист * №1		
Этибонд Эксель  ВСЕ РАЗМЕРЫ НеуказанаСтрана		
Этибонд Эксель зеленый М3 (2/0) 90см две иглы Таперкат V-5 (н/расс) НеуказанаСтрана		
Адреналин раствор для инъекций 1 мг/мл №5 ФГУП МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД РОССИЯ	4602676007701
Адреналин-СОЛОфарм р-р д/инъекций 1мг/мл 1мл амп.N5 Гротекс ООО РОССИЯ	4680013248284
Актовегин раствор для инъекций 40 мг/мл ООО ТАКЕДА ФАРМАСЬЮТИКАЛ РОССИЯ	4602156000024
Актрапид НМ раствор для инъекций 100 ед/мл НОВО НОРДИСК ПРОДАКШН САС ФРАНЦИЯ	5712249112318
Альбумин 20% р-р д/инф., 50 мл., флакон		
Альбумин человеческий раствор для инфузий 200 мг/мл №1 БАКСТЕР АГ АВСТРИЯ	4650081980355
Альбумин человеческий раствор для инфузий 200 мг/мл БАКСТЕР АГ АВСТРИЯ	4650081980348
Амброксол р-р д/приема внутрь и ингаляций 7,5мг/мл 100мл фл.т/с/в комп.с ложкой мерной №1 Озон ООО РОССИЯ	4607027768355
Аминокапроновая кислота раствор для инфузий 50 мг/мл ПАО КРАСФАРМА РОССИЯ	4602521014557
Амиодарон концентрат для приготовления раствора для внутривенного введения 50 мг/мл ОАО БЗМП БЕЛАРУСЬ	4810201014272
Аммиак раствор для наружного применения и ингаляций 100 мг/мл ОАО САМАРАМЕДПРОМ РОССИЯ	4603933007557
Анальгин раствор для внутривенного и внутримышечного введения 500 мг/мл №10 ОАО БЗМП БЕЛАРУСЬ	4810201017204
Анальгин раствор для внутривенного и внутримышечного введения 500 мг/мл №10 ПАО БИОСИНТЕЗ РОССИЯ	4602884015154
Анальгин раствор для внутривенного и внутримышечного введения 500 мг/мл №10 ФКП АРМАВИРСКАЯ БИОФАБРИКА РОССИЯ	4605894001452
Анальгин раствор для внутривенного и внутримышечного введения 500 мг/мл АО НОВОСИБХИМФАРМ РОССИЯ	4602212000111
Анаприлин Реневал таблетки 10 мг АО ПФК ОБНОВЛЕНИЕ РОССИЯ	4603988017716
Анаприлин Реневал таблетки 40 мг АО ПФК ОБНОВЛЕНИЕ РОССИЯ	4603988017723
Аргосульфан крем д/наружного применения 2% 40г тубы N1 Ельфа фармзавод А.О. ПОЛЬША	5904398401027
Аскорбиновая кислота р-р 5% амп.2мл N10 Дальхимфарм ОАО РОССИЯ	4602824014995
Аскорбиновая кислота раствор для внутривенного и внутримышечного введения 100 мг/мл АО НОВОСИБХИМФАРМ РОССИЯ	4602212012275
Аскорбиновая кислота раствор для внутривенного и внутримышечного введения 50 мг/мл ПАО БИОСИНТЕЗ РОССИЯ	4602884014034
Атракурия безилат раствор для внутривенного введения 10 мг/мл ФКП КУРСКАЯ БИОФАБРИКА - ФИРМА БИОК РОССИЯ	4605526008620
Атропина сульфат р-р 0,1% амп.1мл №10 Дальхимфарм ОАО РОССИЯ	4602824002664
Аципол капсулы 10000000 кое ЗАО ФАРМАЦЕВТИЧЕСКАЯ ФИРМА ЛЕККО РОССИЯ	4603671002258
Бакцефорт порошок д/приг.р-ра д/в/в, в/м введения 1г+1г фл.N1 Красфарма ОАО/ПАО РОССИЯ	4602521012089
Банеоцин порошок для наружного применения 250 ед+5000 ед/г МОНТАВИТ ФАРМАЦОЙТИШЕ ФАБРИК ГМБХ АВСТРИЯ	7613421039219
Беродуал р-р д/ингаляций 0,25мг+0,5мг/мл 20мл фл/кап.N1 Институт де Ангели С.р.Л. ИТАЛИЯ	9006968004006
Валидол таблетки подъязычные 60 мг АО ТАТХИМФАРМПРЕПАРАТЫ РОССИЯ	4604060002507
Вальсакор таблетки, покрытые оболочкой 160 мг ООО КРКА-РУС РОССИЯ	4607055138595
Венофер р-р д/в/в введения 20мг/мл 5мл фл.N5 БИПСО ГмбХ,Германия ГЕРМАНИЯ	7640114720390
Вентолин аэрозоль для местного применения дозированный 0.1 мг/доза Глаксо Вэллком Продакшен ФРАНЦИЯ	4607008131857
Верошпирон капсулы 50мг N30 Гедеон Рихтер-РУС АО/ЗАО РОССИЯ	4605469002891
Верошпирон таблетки 25мг N20 Гедеон Рихтер-РУС АО/ЗАО РОССИЯ	4605469004086
Вобэнзим таблетки, покрытые оболочкой 10 мг+45 мг+10 мг+100 мг+18 мг+50 мг+12 мг+0.75 мг МУКОС ЭМУЛЬСИОНС ГМБХ ГЕРМАНИЯ	40301421281398
Габапентин Канон капсулы 300 мг ЗАО КАНОНФАРМА ПРОДАКШН РОССИЯ	4606486029199
Галоперидол-Рихтер раствор для внутримышечного введения 5 мг/мл ОАО ГЕДЕОН РИХТЕР ВЕНГРИЯ	5997001370605
Гам-КОВИД-Вак Комбинированная векторная вакцина для профилактики коронавирусной инфекции, вызываемой вирусом SARS-CoV-2 раствор для внутримышечного вв	4601808014105
Гам-КОВИД-Вак Комбинированная векторная вакцина для профилактики коронавирусной инфекции, вызываемой вирусом SARS-CoV-2 раствор для внутримышечного вв	4601808014112
Гам-КОВИД-Вак Комбинированная векторная вакцина для профилактики коронавирусной инфекции, вызываемой вирусом SARS-CoV-2 раствор для внутримышечного вв	4601808014532
Гам-КОВИД-Вак Комбинированная векторная вакцина для профилактики коронавирусной инфекции, вызываемой вирусом SARS-CoV-2 раствор для внутримышечного вв	4601808014525
Гепарин натрия р-р д/в/в, п/к введения 5000МЕ/мл 5мл амп №5 Велфарм ООО РОССИЯ	4630085992530
Гепариновая мазь мазь для наружного применения 100 ед+40 мг+0.8 мг/г АО НИЖФАРМ РОССИЯ	4601026030086
Гептрал лиофилизат д/приг.р-ра д/в/в, в/м введения 400мг фл./с раств.5мл амп./ N5 Биолоджичи Италия Лабораториз С.р.Л. ИТАЛИЯ	8002660031365
Глюкоза (декстроза) 5% р-р д/инф. 400 мл., флакон 		
Глюкоза (декстроза) 5% раствор для инфузий 200мл. флакон		
Глюкоза р-р д/в/в введения 40% 10мл амп. №10 Гротекс ООО РОССИЯ	4680013242534
Глюкоза р-р д/инф.5% фл.500мл N10 д/стационаров Гематек ООО РОССИЯ	4607092930121
Глюкоза р-р д/инфузий 5% 250мл №10 Гематек ООО РОССИЯ	4607092930497
Глюкоза р-р д/инфузий 5% 250мл контейн.N28 Мосфарм ООО РОССИЯ	4607116944684
Глюкоза р-р д/инфузий 5% 400мл фл. №1 Гротекс ООО РОССИЯ	4680013240387
Глюкоза-СОЛОфарм раствор для инфузий 50 мг/мл ООО ГРОТЕКС РОССИЯ	4680013240318
Глюкофаж Лонг таблетки с пролонгированным высвобождением 500 мг ООО НАНОЛЕК РОССИЯ	4640017590949
Гонадотропин хорионический лиофилизат для приготовления раствора для внутримышечного введения 1000 ме ООО ФИРМА ФЕРМЕНТ РОССИЯ	4680140040027
Гонадотропин хорионический лиофилизат для приготовления раствора для внутримышечного введения 1000 ме ФГУП МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД РОССИЯ	4602676011777
Гонадотропин хорионический пор.лиоф.1500 ЕД фл.N5 с р-лем Московский эндокринный завод ФГУП РОССИЯ	4602676004502
Гонал-Ф р-р д/п/к введения 22мкг/0,5мл шпр/ручки/с иглами ин.N1 Мерк Сероно С.п.А. ИТАЛИЯ	4607069190916
Гонал-Ф раствор для подкожного введения 0.044 мг/мл Мерк Сероно С.п.А. ИТАЛИЯ	4607069190923
Декапептил р-р 0,1мг/мл шприц N7 Ферринг ГмбХ ГЕРМАНИЯ	4603583000014
Дексаметазон буфус раствор для инъекций 4 мг/мл АО ПФК ОБНОВЛЕНИЕ РОССИЯ	4603988022567
Дексаметазон р-р 0,004/мл амп.N25 КРКА д.д/Вектор-Медика ЗАО Словения-Россия	4605635000102
Дексаметазон р-р д/инъекций 4мг/мл 1мл амп.т/с N25 Эльфа Лабораториз ИНДИЯ	4607037190603
Дексаметазон р-р д/инъекций 4мг/мл 2мл амп. №10 Эллара МЦ ООО РОССИЯ	4670008162619
Дексаметазон раствор для инъекций 4 мг/мл РУП БЕЛМЕДПРЕПАРАТЫ БЕЛАРУСЬ	4810133008271
Дексаметазон раствор для инъекций 4 мг/мл ЭЛЬФА ЛАБОРАТОРИС ИНДИЯ	4607037191334
Дексаметазон-Виал р-р д/инъекций 4мг/мл 1мл амп.т/с N25 СиЭсПиСи Оуи Фармасьютикал Ко. Лтд КИТАЙ	6916119020287
Детралекс таблетки, покрытые оболочкой 50 мг+450 мг ООО СЕРВЬЕ РУС РОССИЯ	4607159860866
Детримакс Витамин Д3 2000МЕ таб. п/о 240 мг табл. №60		
Диакарб таблетки 250мг N30 Акрихин ХФК АО/ОАО РОССИЯ	4601969008579
Димедрол р-р д/в/в, в/м введения 10мг/мл 1мл амп.N10 Натива ООО РОССИЯ	4650099783597
Димедрол раствор для внутривенного и внутримышечного введения 10 мг/мл ОАО БЗМП БЕЛАРУСЬ	4810201017846
Диоксидин раствор для внутриполостного введения и наружного применения 10 мг/мл ООО ГРОТЕКС РОССИЯ	4670028224915
Диоксисепт амп. 10мг/мл 10 мл №10 д/в/полост. и наруж.прим.		
Диувер таблетки 10 мг ПЛИВА ХРВАТСКА Д.О.О. ХОРВАТИЯ	4670016770073
Диувер таблетки 5 мг ООО ТЕВА РОССИЯ	4670016770097
